href,video_code,page,actor,rate,comment_number,hacked_subtitle,hacked_no_subtitle,subtitle,no_subtitle,size_hacked_subtitle,size_hacked_no_subtitle,size_subtitle,size_no_subtitle
/v/Eb6MnJ,MIDA-264,1,八木奈々,4.11,82,,,,magnet:?xt=urn:btih:b05f1e36fe95759a4ce2161071c2b83da9a32868&dn=[javdb.com]MIDA-264,,,,5.23GB
/v/6dq1x0,NKKD-353,4,似鳥日菜,4.14,94,,[DOWNLOADED PREVIOUSLY],,[DOWNLOADED PREVIOUSLY],,7.71GB,,5.22GB
/v/bKwe3E,WAAA-559,6,木下ひまり,4.62,81,,,,magnet:?xt=urn:btih:52f3aa35b80ead9c88d7ea651ee911a3912e444b&dn=[javdb.com]waaa-559,,,,5.24GB
/v/nKqeGe,START-350,6,小湊よつ葉,4.19,371,,[DOWNLOADED PREVIOUSLY],,[DOWNLOADED PREVIOUSLY],,2.15GB,,2.27GB
/v/e82KMp,START-367,6,宮島めい,4.48,292,,[DOWNLOADED PREVIOUSLY],,[DOWNLOADED PREVIOUSLY],,3.03GB,,7.10GB
/v/z4BKX5,FNS-058,7,山下紗和,4.03,82,,,,magnet:?xt=urn:btih:60f297cef0e8df5b65ce365d0c8a9f5a2487b19c&dn=[javdb.com]FNS-058,,,,4.44GB
