href,video_code,page,actor,rate,comment_number,hacked_subtitle,hacked_no_subtitle,subtitle,no_subtitle,size_hacked_subtitle,size_hacked_no_subtitle,size_subtitle,size_no_subtitle
/v/2mqx5P,DASS-695,2,Nia,4.45,299,,[DOWNLOADED PREVIOUSLY],,[DOWNLOADED PREVIOUSLY],,6.00GB,,5.51GB
/v/a8yQ5r,DRPT-091,2,葉山さゆり,4.24,253,,[DOWNLOADED PREVIOUSLY],,[DOWNLOADED PREVIOUSLY],,9.69GB,,3.17GB
/v/DR4b34,DSVR-1738,2,,4.56,104,,[DOWNLOADED PREVIOUSLY],,[DOWNLOADED PREVIOUSLY],,7.52GB,,14.03GB
/v/2mqvMN,GANA-3229,1,のぞみ,3.53,52,,,,magnet:?xt=urn:btih:307d0980ac345033498d878d121f8dc8a8d345db&dn=[javdb.com]200GANA-3229,,,,3.08GB
/v/wKk6bB,THU-053,1,,4.0,6,,,,magnet:?xt=urn:btih:dc82faed55865e40c3f705ced44f15724139000e&dn=[javdb.com]thu-053,,,,19.42GB
/v/deg6p5,ABF-252,1,七嶋舞,4.32,39,,,,magnet:?xt=urn:btih:2b8e60df61507e6a054ea5e25618e68ef102855e&dn=[javdb.com]ABF-252,,,,1.54GB
/v/GZ43bq,ABF-251,1,八掛うみ,4.13,37,,,,magnet:?xt=urn:btih:58c00cec9858a0f9238601a235336ccdb89fe671&dn=[javdb.com]abf-251,,,,6.46GB
/v/z45pR7,NHDTC-084,1,,3.88,13,,,,magnet:?xt=urn:btih:dfeb6a169b6a8c270d3373eb55af4010ba5c18b0&dn=[javdb.com]nhdtc-084.torrent,,,,8.94GB
/v/QNW36G,NHDTC-087,1,,4.11,18,,,,magnet:?xt=urn:btih:78c4bf5fa5875fa1b4b9d77715b2e4a664a6ad29&dn=[javdb.com]nhdtc-087.torrent,,,,6.93GB
